source_name,title,url,published_at,fetched_at,country,topic_country,category,domain,language,social_image,source_system
,"İsrail medyasından analiz : Türkiye öncülüğündeki ittifak , İsraili tedirgin etti",https://www.ensonhaber.com/dunya/israil-medyasindan-analiz-turkiye-onculugundeki-ittifak-israili-tedirgin-etti,2026-03-29 22:00:00,2026-04-23T09:32:43.385061+00:00,Turkey,Other,geopolitics,ensonhaber.com,Turkish,https://imgcdn.ensonhaber.com/media/esh/2026/03/29/69c990942ca86644.jpg,GDELT
,İsrailin  asıl korkması gereken senaryo  gerçek oluyor : Türkiye öncülüğünde yeni ittifak,https://www.haber7.com/dunya/haber/3615827-israilin-asil-korkmasi-gereken-senaryo-gercek-oluyor-turkiye-onculugunde-yeni-ittifak,2026-03-29 20:00:00,2026-04-23T09:32:43.385061+00:00,Turkey,Other,geopolitics,haber7.com,Turkish,https://i20.haber7.net/resize/1280x720/haber/haber7/bigmanset/2026/13/israilin_asil_korkmasi_gereken_senaryo_gercek_oluyor_turkiye_onculugunde_yeni_ittifak_1774811993_6355.jpg,GDELT
,پاک فلسطین فورم 29 مارچ کو کراچی سے غزہ تک پرامن مارچ کرے گا ، غزہ میں انسانی بحران پر تشویشناک ہے : مشتاق احمد خان,https://dailyaaj.com.pk/news/149128,2026-03-14 13:15:00,2026-04-23T09:32:43.385061+00:00,Pakistan,Other,geopolitics,dailyaaj.com.pk,Urdu,https://dailyaaj.com.pk/uploads/9b9ab39485bb24edaab493a2d7ce8ca0.jpeg,GDELT
,غزہ امن بورڈ اجلاس - ایکسپریس اردو,https://www.express.pk/story/2802401/gaza-aman-board-ijlas-2802401,2026-02-26 22:30:00,2026-04-23T09:32:43.385061+00:00,Pakistan,Other,geopolitics,express.pk,Urdu,https://img.express.pk/media/images/2720842-mjgohar-1728414445/2720842-mjgohar-1728414445-600x450.webp,GDELT
,خطے میں تبدیلیوں سے پاکستان اور ایران مزید قریب آئے ، ایرانی سفیر,https://jang.com.pk/news/1559546,2026-02-24 13:30:00,2026-04-23T09:32:43.385061+00:00,Pakistan,Other,geopolitics,jang.com.pk,Urdu,https://jang.com.pk/assets/uploads/updates/2026-02-24/1559546_060538_updates.jpg,GDELT
,美国大使所谓  以色列可拿下整个中东  言论惹众怒 _ 凤凰网,https://mil.ifeng.com/c/8qxETmSp1vM,2026-02-24 01:00:00,2026-04-23T09:32:43.385061+00:00,China,Other,geopolitics,mil.ifeng.com,Chinese,https://x0.ifengimg.com/ucms/2026_09/E6EF90A7E8AC427E19E1B70192B4BBF3DCEACC23_size139_w975_h549.jpg,GDELT
,美国大使所谓  以色列可拿下整个中东  言论惹众怒,https://baijiahao.baidu.com/s?id=1857813657508592152,2026-02-23 10:45:00,2026-04-23T09:32:43.385061+00:00,China,Other,geopolitics,baijiahao.baidu.com,Chinese,,GDELT
,美国大使所谓  以色列可拿下整个中东  言论惹众怒,https://baijiahao.baidu.com/s?id=1857816931109915781,2026-02-23 10:15:00,2026-04-23T09:32:43.385061+00:00,China,Other,geopolitics,baijiahao.baidu.com,Chinese,,GDELT
,多个阿拉伯和伊斯兰国家及国际组织发表联合声明谴责美驻以大使有关言论,https://baijiahao.baidu.com/s?id=1857826110313191246,2026-02-23 04:00:00,2026-04-23T09:32:43.385061+00:00,China,Other,geopolitics,baijiahao.baidu.com,Chinese,,GDELT
,美国大使所谓  以色列可拿下整个中东  言论惹众怒,https://baijiahao.baidu.com/s?id=1857822180054162523,2026-02-22 16:15:00,2026-04-23T09:32:43.385061+00:00,China,Other,geopolitics,baijiahao.baidu.com,Chinese,,GDELT
,多个阿拉伯和伊斯兰国家及国际组织发表联合声明谴责美驻以大使有关言论 - 新华网,https://www.news.cn/world/20260222/763eda9b745a41008222c402916f2e9f/c.html,2026-02-22 14:15:00,2026-04-23T09:32:43.385061+00:00,China,Other,geopolitics,news.cn,Chinese,,GDELT
