source_name,author,title,description,url,published_at,fetched_at,country,category,domain,language,social_image,source_system
Google News,The Guardian,Oil price soars to highest level since 2022 as US-Iran impasse shows no sign of resolution - The Guardian,,https://news.google.com/rss/articles/CBMitAFBVV95cUxOdW5OMHhKMTZRcWVCZ2NNQWJmWWl6d2VvSkhoOEZWeXFNQTRFSkN5MHNaV3BXV0ZEempTdW9LUEtSWE5PVm5PNVIwbWw3V2JqSjJiUG9fMXB5NmRRellNcXZYdFpKblMtNWxfUlU2My1ZcmtkNEdodV8wdmdNdGtpak5EU2JOSlJoTzFPd3l2cTg1ZTBmTkRYQkpscmpsOUdWNmNOZ2dnQUZoM2VDREpxak1QY0k?oc=5,2026-04-30 03:22:00,2026-05-01T03:11:22.338056+00:00,Iran,broad_news,Unknown,en,,NewsAPI
Google News,BBC,US charges Mexican governor and other leaders with aiding drug cartel - BBC,,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1ZX3owUVZvV3BFazNmWnp5U1dBa0UwUW9vQXRGWTREc3dRelRhUW1ra0o0Qi1fUTBjZTI2MEVLNkc5MjYtMU4xLWM5bGxvLWNEdmZfRGNFdVU1QQ?oc=5,2026-04-30 03:20:04,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,CBS Sports,"Orlando Magic vs. Detroit Pistons Live Score and Stats - April 29, 2026 Gametracker - CBS Sports",,https://news.google.com/rss/articles/CBMieEFVX3lxTE5kMWZWNUhpZDV3bXFuRU9NOG5EeVFiZ2Y5NnBWamlWNGRjaldDSm11d2wtVGpjajBSNWVHdkRBSjN2SGhzQ1k0aVBiNnRQRHJ0ZnJub1FrZktBc0xpMHRUR1JTUEczN3h3YlhvYXVjU1hkWlJIalhzQQ?oc=5,2026-04-30 03:09:22,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,San Francisco Chronicle,"United flight from SFO reports possible drone strike at 3,000 feet - San Francisco Chronicle",,https://news.google.com/rss/articles/CBMihgFBVV95cUxPY1NYWkpuR1hJaTQyMWw5VnpkRUdwQkROWkotWHlGOEpiQzlwSms4Y3V0SU13cUpiU05iOXpGWDZjSUdTeFYxaDF5VWI2ZUpERUdUbm1WeDBkaXlYalVDVExPTmVHWDQ0QlpzTUwwZTNHdjE5N2NNeEdpVk9sUkdNSEI4SF9mUQ?oc=5,2026-04-30 03:07:56,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Axios,"Powell to remain as Fed governor, denying Trump a key vacancy - Axios",,https://news.google.com/rss/articles/CBMiZkFVX3lxTE9aTVR5bmgyanFFNFZxR2lVRl9aQTZKRVRxbllaTld2U1VyVGRWU0NPd2lVaXVDLTc4RjhXakdKZDIyS3BFd2pFQnotSmZ3UnNrYUJsYks0UWZpSi1jdnUyNzBzbmxvUQ?oc=5,2026-04-30 03:05:19,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Axios,Scoop: Commanders to brief Trump on new Iran military options Thursday - Axios,,https://news.google.com/rss/articles/CBMigAFBVV95cUxQUlV0Y0pnY1poRWJvbTZkOXdoVVpqRDRmS2J2X1NzUkNuSFpqUlpCaU5OWXZUcXZxdWZQY3MxSXlxZWU5NTJaelo2R0xHLVhxVkNrUmJnSDRiN2VCZVZEekRaUERrM2llcnhNcUY1bm9xTVhIcTBXV1NqRWhjVWdkSw?oc=5,2026-04-30 02:29:35,2026-05-01T03:11:22.338056+00:00,Iran,broad_news,Unknown,en,,NewsAPI
Google News,"ABC News - Breaking News, Latest News and Videos","D4vd allegedly amputated teen's finger tattooed with his name as part of 'horrifying' attempt to cover up crime: Prosecutors - ABC News - Breaking News, Latest News and Videos",,https://news.google.com/rss/articles/CBMipwFBVV95cUxQRnlodTQtM3VLUERCZ1BQX3FES1p3VEtlNjN2aFpSRWgtWVJ2VXJaaWNvY3I1bFlnSERtQk5KVEhrWVlwLS14RXU0dmJWd1NaaWVfamt5emNvdUdBMThQeXRRSDlOZTdyQmcyVm9EUlV4dURpZXFyZlBLalBJempSbHA0SVFiWmxwQmxJWERZa2YxYmVnLWh2QjBoYzVYV1RWUkRLSThWUdIBrAFBVV95cUxNN2VnMWkyMkF0ZHd1aDBnM0s0RXVyX2tyUldPeWd4TWxOYk1JS3pDV2Z0SHVuNDczVE5QanlNQndVX2F5RW5RNHdsSS01ejRJX3d1dzBHakZnYzFVSGxUQy1kOUtPQ1BhNW9kNjJBUHVianFDa0EtWGFWOWU4cDFGWUhjeU5oWUxEMmY5aUpVTW93MnNxM2RMdWFQa011bGZOM0d6VnVDN1dNcHlS?oc=5,2026-04-30 02:05:38,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,The Guardian,"Brown University shooting suspect driven by ‘accumulation of grievances’, FBI says - The Guardian",,https://news.google.com/rss/articles/CBMijgFBVV95cUxPSGlFdUhJbDgtZUJTb3E0SncyblhWSG1qOUJ2eUM0WWRoR2FkME1GUlg4RGpibzBJM2tpQjRjTk1CU0hzSEtXWEpQTnJCTm9WV0hBekw1YWxvV3BVa0hMY3l4YUs5QTdmR0tGNVFLSVpncG5ScHFiTHJINjdwb3NxdnQteGtGTndQM2w3UzN3?oc=5,2026-04-30 02:00:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Nintendo Everything,"Super Mario Galaxy 2 1.4.0 update out now, patch notes – includes new story in story book - Nintendo Everything",,https://news.google.com/rss/articles/CBMiugFBVV95cUxQVjk1RG1DcnRQZzNzNnRFNW04U0o3VjRQczliU2hnbk9KQkxJN3FzZks0ai1ZZUxSSjZ0bFJmcnN6MGszYlBOdnZRMWtoT1RHaEpVYmNPTG5fR3FqT3pyUndLVlVLZTlUV0Rva1pJMHhGY2lEUTlHcWJBYjRoQTlmTUo3M21CLWNkVnUySVlIeFlVQnZKNll0aGlkM3FMTWlycEMyVUJTenFBZnVBMWJ5X1A0WUhhcGRqQkE?oc=5,2026-04-30 01:22:43,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,The Washington Post,U.K. investigates attacks on Jewish targets for possible links to Iran - The Washington Post,,https://news.google.com/rss/articles/CBMimAFBVV95cUxQTV9CYTFTMnZ0VGhSNUFCSWh6cmF2OFg5VXdvcmNmQ3VKVktFckZjdTdCVVN0WjZwR3FpRFMtMUpZMEFGSFRmMG0wQXNQTWxEb1ZyV08wbGtPcjRaaEsyTFJJQ19ZQVVXelhPaTBfR1doQTZXQjI3U0F0VnZQUXlsaXFEV0VoTEJjMFpQTWhIbU1hWjI4Y2hmRw?oc=5,2026-04-30 00:50:10,2026-05-01T03:11:22.338056+00:00,Iran,broad_news,Unknown,en,,NewsAPI
