source_name,author,title,description,url,published_at,fetched_at,country,category,domain,language,social_image,source_system
,,人事 、 日本無線 - 日本経済新聞,,https://www.nikkei.com/article/DGXZTSJD00201_Z10C26A2000000/,20260219T090000Z,2026-04-23T05:05:23.562812+00:00,Japan,technology,nikkei.com,Japanese,https://www.nikkei.com/.resources/k-components/rectangle.rev-d54ea30.png,GDELT
,,  Make in Việt Nam  - khẳng định vị thế công nghệ Việt,,https://baomoi.com/make-in-viet-nam-khang-dinh-vi-the-cong-nghe-viet-c54503782.epi,20260217T013000Z,2026-04-23T05:05:23.562812+00:00,Vietnam,technology,baomoi.com,Vietnamese,,GDELT
,,  Make in Việt Nam  - khẳng định vị thế công nghệ Việt,,https://genk.vn/make-in-viet-nam-khang-dinh-vi-the-cong-nghe-viet-165260217123929463.chn,20260217T130000Z,2026-04-23T05:05:23.562812+00:00,Vietnam,technology,genk.vn,Vietnamese,,GDELT
,,"Kiểm soát chặt công nghệ lạc hậu , gây ô nhiễm từ 1 / 4 / 2026",,https://danviet.vn/kiem-soat-chat-cong-nghe-lac-hau-gay-o-nhiem-tu-1-4-2026-d1415924.html,20260408T023000Z,2026-04-23T05:05:23.562812+00:00,Vietnam,technology,danviet.vn,Vietnamese,https://t.ex-cdn.com/danviet.vn/800w/files/content/2026/04/04/cong-nghe-2057.jpg,GDELT
,,  首发经济  遇上  新春派对  春节来成都春熙路解锁AI前沿科技,,https://finance.sina.com.cn/roll/2026-02-15/doc-inhmwfps1333759.shtml,20260215T030000Z,2026-04-23T05:05:23.562812+00:00,China,technology,finance.sina.com.cn,Chinese,https://n.sinaimg.cn/spider20260215/0/w1920h1280/20260215/ba73-aae5a021fcb90c3d7c8932c93c1d2bbb.jpg,GDELT
,,  首发经济  遇上  新春派对  春节来成都春熙路解锁AI前沿科技|科创|锦江区|成都市,,https://www.163.com/dy/article/KLQ6TOJI0512B07B.html,20260215T043000Z,2026-04-23T05:05:23.562812+00:00,China,technology,163.com,Chinese,,GDELT
,,新华鲜报丨20项举措 ！ 科技保险高质量发展路线图发布,,https://baijiahao.baidu.com/s?id=1858543399737928963,20260302T124500Z,2026-04-23T05:05:23.562812+00:00,China,technology,baijiahao.baidu.com,Chinese,,GDELT
,,20项举措 ！ 科技保险高质量发展路线图发布 _ 中国网,,http://union.china.com.cn/jdnews/txt/2026-03/03/content_43364209.shtml,20260303T034500Z,2026-04-23T05:05:23.562812+00:00,China,technology,union.china.com.cn,Chinese,,GDELT
,,科技保险高质量发展路线图发布 -- 经济 · 科技 -- 人民网,,http://finance.people.com.cn/n1/2026/0307/c1004-40676557.html,20260307T004500Z,2026-04-23T05:05:23.562812+00:00,China,technology,finance.people.com.cn,Chinese,,GDELT
,,从  港版纳斯达克  到  中国科技标杆 ， 汇添富恒生科技C ( 013128 ) 以软硬科技均衡捕获长期红利 _ 中金在线财经号,,http://mp.cnfol.com/26675/article/1771556284-142271455,20260221T030000Z,2026-04-23T05:05:23.562812+00:00,China,technology,mp.cnfol.com,Chinese,,GDELT
,,科技保险保障谁 、 保什么 、 怎么保 ？ 四部门明确 _ 东方财富网,,https://finance.eastmoney.com/a/202603023658941913.html,20260303T001500Z,2026-04-23T05:05:23.562812+00:00,China,technology,finance.eastmoney.com,Chinese,,GDELT
,,科技保险保障谁 、 保什么 、 怎么保 ？ 四部门明确 _ 财经评论 ( cjpl ) 股吧 _ 东方财富网股吧,,"https://guba.eastmoney.com/o/news,cjpl,1673333938.html",20260303T001500Z,2026-04-23T05:05:23.562812+00:00,China,technology,guba.eastmoney.com,Chinese,,GDELT
,,Chọn học ngành công nghệ : Lưu ý gì khi AI phát triển liên tục ? ,,https://thanhnien.vn/chon-hoc-nganh-cong-nghe-luu-y-gi-khi-ai-phat-trien-lien-tuc-185260303195334899.htm,20260304T010000Z,2026-04-23T05:05:23.562812+00:00,Vietnam,technology,thanhnien.vn,Vietnamese,https://images2.thanhnien.vn/zoom/1200_630/528068263637045248/2026/3/3/giao-duc-17725423896101818892423-5-0-645-1024-crop-17725473411311710923368.jpg,GDELT
,,新华鲜报丨20项举措 ！ 科技保险高质量发展路线图发布 - 新华网,,https://www.news.cn/tech/20260302/45f8d8b9fc0a44d999982a7eb686f76b/c.html,20260302T113000Z,2026-04-23T05:05:23.562812+00:00,China,technology,news.cn,Chinese,,GDELT
,,四部门 ： 加快推动科技保险高质量发展 -- 经济 · 科技 -- 人民网,,http://finance.people.com.cn/n1/2026/0303/c1004-40673618.html,20260303T020000Z,2026-04-23T05:05:23.562812+00:00,China,technology,finance.people.com.cn,Chinese,,GDELT
,,Cập nhật xu hướng công nghệ cao cho giai đoạn phát triển mới,,https://baomoi.com/cap-nhat-xu-huong-cong-nghe-cao-cho-giai-doan-phat-trien-moi-c54712368.epi,20260317T060000Z,2026-04-23T05:05:23.562812+00:00,Vietnam,technology,baomoi.com,Vietnamese,,GDELT
,,山东省科创集团有限公司权属企业招聘5人,,https://baijiahao.baidu.com/s?id=1857002497774712376,20260219T050000Z,2026-04-23T05:05:23.562812+00:00,China,technology,baijiahao.baidu.com,Chinese,,GDELT
,, 【 好评中国 】 从  扭秧歌  到  打功夫 ， 科技年夜饭  烹出中国创新好滋味,,https://sp.ycwb.com/ikimvkitjc/content_53970204.htm,20260218T091500Z,2026-04-23T05:05:23.562812+00:00,China,technology,sp.ycwb.com,Chinese,https://www.ycwb.com/images/jyw_QQWeChat_transmit.jpg,GDELT
,,学习规划建议每日问答丨加紧国防科技创新和先进技术转化需要把握哪些重点,,https://baijiahao.baidu.com/s?id=1857469983218859891,20260219T013000Z,2026-04-23T05:05:23.562812+00:00,China,technology,baijiahao.baidu.com,Chinese,,GDELT
,,Việt Nam và cơ hội nghiên cứu ứng dụng công nghệ lượng tử,,https://baomoi.com/viet-nam-va-co-hoi-nghien-cuu-ung-dung-cong-nghe-luong-tu-c54525098.epi,20260221T073000Z,2026-04-23T05:05:23.562812+00:00,Vietnam,technology,baomoi.com,Vietnamese,,GDELT
,,四部门印发通知 加快推动科技保险高质量发展,,https://finance.sina.com.cn/tech/roll/2026-03-03/doc-inhpsxzq4699749.shtml,20260303T094500Z,2026-04-23T05:05:23.562812+00:00,China,technology,finance.sina.com.cn,Chinese,,GDELT
